"Species","Raw_PCA_010nm"
"Alnus sp.",0.7
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.4
"Betula nana",0.5
"Bryoria sp.",0.1
"Carex sp.",0.3
"Cetraria islandica",0.1
"Cladonia gracilis",0.3
"Cladonia mitis",0.3
"Cladonia rangiferina",0.4
"Cladonia steallaris",0
"Cladonia stygia",0.3
"Cladonia uncialis",0.2
"Dryas alleghenies",0.8
"Dryas octopetala",0.9
"Dryas sp.",0.1
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.3
"Flavocetraria nivalis",0.3
"Hylocomium splendens",0.1
"Hypogymnia austerodes",0.3
"Ledum decumbens",0.3
"Lupinus sp.",0
"Masonhalea richardsonii",0.5
"Melanelia sp.",0.2
"Nephroma arcticum",0.3
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.3
"Peltigera apthosa",0.1
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.4
"Porpidia sp.",0
"Rhizocarpon geographicum",0.3
"Rosa acicularis",0.1
"Rubus sp.",0.1
"Salix (wooly)",0
"Salix alaxensis",0.2
"Salix glauca",0.4
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.1
"Usnea lapponica",0.1
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0
