"Species","Raw_PCA_allbands"
"Alnus sp.",0.266666666666667
"Arctostaphyllos",0.266666666666667
"Asahinea chrysantha",0.2
"Betula nana",0
"Carex sp.",0.0666666666666667
"Cladonia gracilis",0.133333333333333
"Cladonia mitis",0
"Cladonia rangiferina",0
"Cladonia steallaris",0.133333333333333
"Cladonia stygia",0.2
"Dryas alleghenies",0.2
"Dryas octopetala",0.6
"Dryas sp.",0.266666666666667
"Evernia mesomorpha",0.333333333333333
"Flavocetraria nivalis",0.0666666666666667
"Ledum decumbens",0.133333333333333
"Nephroma arcticum",0.2
"Picea mariana",0.0666666666666667
"Pilophorus acicularis",0.0666666666666667
"Rhizocarpon geographicum",0
"Rosa acicularis",0
"Salix alaxensis",0.266666666666667
"Salix glauca",0.333333333333333
"Umbilicaria hyperborea",0.0666666666666667
"Vaccinium vitis-idea",0.2
