"Species","raw_010nm_more05"
"Bryoria sp.",0.2
"Ceratadon purpureus",0.2
"Dactylina arctica",0.285714285714286
"Dryas alleghenies",0.158088235294118
"Dryas octopetala",0.0473856209150327
"Eriophorum vaginatum",0
"Heracleum lanatum",0
"Lupinus sp.",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.0666666666666667
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.111111111111111
"Salix alaxensis",0.106382978723404
"Umbilicaria hyperborea",0.2
"Usnea scabrata",0.166666666666667
