"Species","Raw_100nm"
"Alnus sp.",0.7
"Arctostaphyllos",0.4
"Asahinea chrysantha",0.5
"Betula nana",0.6
"Bryoria sp.",0.1
"Carex sp.",0.1
"Cetraria islandica",0.1
"Cladonia gracilis",0.3
"Cladonia mitis",0.3
"Cladonia rangiferina",0.6
"Cladonia steallaris",0.7
"Cladonia stygia",0.6
"Cladonia uncialis",0.3
"Dryas alleghenies",0.7
"Dryas octopetala",0.4
"Dryas sp.",0.3
"Empetrum nigrum",0.3
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.1
"Flavocetraria cucculata",0.5
"Flavocetraria nivalis",0.6
"Hylocomium splendens",0.3
"Hypogymnia austerodes",0.1
"Ledum decumbens",0.5
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.3
"Melanelia sp.",0.3
"Nephroma arcticum",0.2
"Parmelis sulcata",0.3
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.4
"Picea mariana",0.2
"Pilophorus acicularis",0
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.2
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Rubus sp.",0.2
"Salix (wooly)",0.1
"Salix alaxensis",0.1
"Salix glauca",0.5
"Salix pulchra",0.1
"Umbilicaria hyperborea",0.2
"Usnea lapponica",0.2
"Usnea scabrata",0
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0
