"Species","Smooth_allbands"
"Alnus sp.",0.2
"Arctostaphyllos",0.3
"Asahinea chrysantha",0.4
"Betula nana",0.3
"Bryoria sp.",0.1
"Carex sp.",0.2
"Cetraria islandica",0.3
"Cladonia gracilis",0.5
"Cladonia mitis",0.5
"Cladonia rangiferina",0.6
"Cladonia steallaris",0.6
"Cladonia stygia",0.5
"Cladonia uncialis",0.2
"Dryas alleghenies",0.9
"Dryas octopetala",0.7
"Dryas sp.",0.5
"Empetrum nigrum",0
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.3
"Flavocetraria cucculata",0.5
"Flavocetraria nivalis",0.5
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0
"Ledum decumbens",0.7
"Lupinus sp.",0.3
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.3
"Nephroma arcticum",0.3
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.1
"Picea mariana",0
"Pilophorus acicularis",0.3
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.2
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0.1
"Rubus sp.",0.1
"Salix (wooly)",0.1
"Salix alaxensis",0.4
"Salix glauca",0.4
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.3
"Usnea lapponica",0.1
"Usnea scabrata",0.1
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0.2
