"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","LeafLitter",0,0,0,0
"2","Wood",0,0,0,0
"3","Rock",0,0,0,0
"4","Soil",361,1,0,0
"5","Equisetum",0,0,0,0
"6","Arenia",0,0,0,0
"7","Heracleum",0,0,0,0
"8","Hieracium",0,0,0,0
"9","Iris",0,0,0,0
"10","Lupinus",0,0,0,0
"11","Pedicularis",0,0,0,0
"12","Petasites",0,0,0,0
"13","Saxifraga",0,0,0,0
"14","Toefeldia",0,0,0,0
"15","Arctagrostis",0,0,0,0
"16","Arctophila",0,0,0,0
"17","Calamagrostis",0,0,0,0
"18","Dupontia",0,0,0,0
"19","Carex",0,0,0,0
"20","Eriophorum",0,0,0,0
"21","Bryoria",0,0,0,0
"22","Cetraria",0,0,0,0
"23","Masonhalea",0,0,54.15,0.15
"24","Melanelia",0,0,0,0
"25","Peltigera",0,0,0,0
"26","Porpidia",0,0,0,0
"27","Rhizocarpon",0,0,0,0
"28","Umbilicaria",0,0,0,0
"29","Icmadophila",0,0,0,0
"30","Pilophorus",0,0,0,0
"31","Stereocaulon",0,0,0,0
"32","Trapeliopsis",0,0,0,0
"33","Alectoria",0,0,0,0
"34","Arctocetraria",0,0,0,0
"35","Asahinea",0,0,0,0
"36","Cladonia",0,0,140.79,0.39
"37","Hypogymnia",0,0,0,0
"38","Parmelia",0,0,0,0
"39","Unknown",0,0,0,0
"40","Dactylina",0,0,3.61,0.01
"41","Evernia",0,0,0,0
"42","Flavocetraria",0,0,0,0
"43","Nephroma",0,0,0,0
"44","Parmeliopsis",0,0,0,0
"45","Usnea",0,0,0,0
"46","Vulpicida",0,0,0,0
"47","Aulacomnium",0,0,0,0
"48","Ceratadon",0,0,0,0
"49","Dicranum",0,0,0,0
"50","Plagiomnium",0,0,0,0
"51","Polytrichum",0,0,0,0
"52","Racomitrium",0,0,0,0
"53","Hylocomnium",0,0,0,0
"54","Pleurozium",0,0,0,0
"55","Rhytidium",0,0,0,0
"56","Tomenthypnum",0,0,0,0
"57","Sphagnum",0,0,0,0
"58","Alnus",0,0,0,0
"59","Betula",0,0,7.22,0.02
"60","Arctostaphyllos",0,0,0,0
"61","Rhus",0,0,0,0
"62","Rosa",0,0,0,0
"63","Rubus",0,0,0,0
"64","Vaccinium",0,0,0,0
"65","Salix",0,0,0,0
"66","Cassiope",0,0,108.3,0.3
"67","Dryas",0,0,18.05,0.05
"68","Empetrum",0,0,0,0
"69","Ledum",0,0,0,0
"70","Loisleuria",0,0,0,0
"71","Acer",0,0,0,0
"72","Fagus",0,0,0,0
"73","Prunus",0,0,0,0
"74","Quercus",0,0,0,0
"75","Populus",0,0,0,0
"76","Abies",0,0,0,0
"77","Larix",0,0,0,0
"78","Pinus",0,0,0,0
"79","Thuja",0,0,0,0
"80","Tsuga",0,0,0,0
"81","Picea",0,0,0,0
"82","",0,0,0,0
