maxCor,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
0.99,no_treatment,center & scale & Nothing,balanced,4,5,0.7375,0.249412181143552,1.21716396490451,61718,774dba79-2a09-416f-a1d1-8858e63e311a
1,no_treatment,center & scale & Nothing,balanced,4,5,0.7375,0.249412181143552,1.21716396490451,61718,ba248f5d-d27d-4b9e-9411-5f76af355101
0.99,no_treatment,center & scale & Nothing,balanced,4,10,0.8375,0.383998693108069,1.00587969777391,61718,24868a9b-3187-4324-8616-8845153502c2
1,no_treatment,center & scale & Nothing,balanced,4,10,0.8375,0.383998693108069,1.00587969777391,61718,b64a9a96-83c5-4344-a38f-4e25d1775b46
0.99,no_treatment,center & scale & Nothing,balanced,4,15,0.83125,0.41625654783034,0.990643823162504,61718,ef307c0f-3ee8-4b8f-b8ec-52559a32dc60
1,no_treatment,center & scale & Nothing,balanced,4,15,0.83125,0.41625654783034,0.990643823162504,61718,358afdc3-670c-4be0-b96c-7aa8f718863f
0.99,no_treatment,center & scale & Nothing,balanced,4,20,0.83125,0.41625654783034,0.990643823162504,61718,94e7cbd7-e906-4f15-94a5-a878054d6167
1,no_treatment,center & scale & Nothing,balanced,4,20,0.83125,0.41625654783034,0.990643823162504,61718,4dd55f34-e88a-47a8-887a-5c85df269ec5
0.99,no_treatment,center & scale & Nothing,balanced,4,25,0.83125,0.41625654783034,0.990643823162504,61718,ad9ea906-a3d0-47d6-8d5e-e647b63427f2
1,no_treatment,center & scale & Nothing,balanced,4,25,0.83125,0.41625654783034,0.990643823162504,61718,1754d891-1006-4aae-8312-7e4861cd4ea6
0.99,no_treatment,center & scale & Nothing,balanced,4,30,0.83125,0.41625654783034,0.990643823162504,61718,76e825e0-895c-4475-953a-6253711577fb
1,no_treatment,center & scale & Nothing,balanced,4,30,0.83125,0.41625654783034,0.990643823162504,61718,c98bf6d3-ef7d-4144-a6fb-5969c222857c
0.99,no_treatment,center & scale & Nothing,balanced,8,5,0.775,0.28525226049844,1.17798096251743,61718,f0c0de86-1170-4b2a-94ae-f0388707d86a
1,no_treatment,center & scale & Nothing,balanced,8,5,0.775,0.28525226049844,1.17798096251743,61718,7ae0d29b-c3f7-4ef6-8ac8-0c5b92481b1a
0.99,no_treatment,center & scale & Nothing,balanced,8,10,0.85,0.361288335894342,1.07395520438682,61718,f8b9b8dc-4f3c-408c-b138-a7b4caf4868c
1,no_treatment,center & scale & Nothing,balanced,8,10,0.85,0.361288335894342,1.07395520438682,61718,3f813bc8-491c-484a-abe5-2d255ef298d0
